,Id,Username,Text,Date,Hashtags
0,682712678838607872,TheZubaidi,Microsoft to Notify Users of Government Hackings http://nyti.ms/1mmCfCb #iPhone #iOS9 #Apple,2015-12-31 23:59:21+00:00,#iPhone #iOS9 #Apple
1,682712580662509568,AlesMicheli,#Apple #cane #dog ho paura dei botti metteteveli nel c...... https://www.instagram.com/p/_-bmP4QvZl/,2015-12-31 23:58:58+00:00,#Apple #cane #dog
2,682712494608117760,KCCardani,#racion #Braised #apple stuffed with #quail #yummy @Ración https://www.instagram.com/p/_-bjxhGal5/,2015-12-31 23:58:37+00:00,#racion #Braised #apple #quail #yummy
3,682712481240711169,NYCGlobalBrands,#apple #iPad How to block numbers from texting or calling you in iOS http://bit.ly/1YSc72V http://ebay.to/1QKe8cN,2015-12-31 23:58:34+00:00,#apple #iPad
4,682712443236282368,WillMason93,I think Siri has it a little wrong... #Apple ,2015-12-31 23:58:25+00:00,#Apple
5,682712439817900032,appappleitunes,辛口で振りかえる…アップルの2015年失敗作8選 - ギズモード・ジャパン http://ift.tt/1OzChmv #Apple,2015-12-31 23:58:24+00:00,#Apple
6,682712430288310272,_TNews,How to block numbers from texting or calling you in iOS: We’ve all been there. The survey takers... http://bit.ly/1P3Bi89 #Tech #Apple,2015-12-31 23:58:22+00:00,#Tech #Apple
7,682712225409294336,painelpolitico,Apple e Google elegem os melhores aplicativos do ano http://ln.is/painelpolitico.com/OYeEb #Apple #google,2015-12-31 23:57:33+00:00,#Apple #google
8,682712162389868545,IndyAppleGear,"Ipad 2 Air, Iphone 5, Ipad mini-Price Reduced (Avon) $90 http://ift.tt/1RTBM71 #indy #apple #gear",2015-12-31 23:57:18+00:00,#indy #apple #gear
9,682712142743654400,CreativeOctpus,Netflix can help your kids ring in the New Year a bit early http://dlvr.it/D8b2jQ #apple #mac,2015-12-31 23:57:13+00:00,#apple #mac
10,683075202893262848,NYCGlobalBrands,#apple #iPad Brand New Microsoft Surface Pro 4 Type Cover (Black) with Fingerprint ID: $154.... http://ebay.to/1YUpG1Z #tablet #eReader,2016-01-01 23:59:53+00:00,#apple #iPad #tablet #eReader
11,683075126020149253,MllePhenix,Qu'est ce qui m'a pris ? #Samsung #Apple,2016-01-01 23:59:35+00:00,#Samsung #Apple
12,683075056348467201,imagazinemag,Price Drop: Lifeline 2 (Games) http://bit.ly/1ReYoNF #imagazine #apple,2016-01-01 23:59:19+00:00,#imagazine #apple
13,683075009280131072,soledadgalang,"""No es binario: se puede tener decencia y talento al mismo tiempo"". S. Wozniak en la estupenda #SteveJobs de #DannyBoyle #cine #iMac #Apple",2016-01-01 23:59:07+00:00,#SteveJobs #DannyBoyle #cine #iMac #Apple
